2,156386908707410744055669325874259550633
3,2945435622264018573403225477860035924065784323178208442531
4,51278161934113871212943849795197697185242376318632767715709868568755265725281
5,808281412135717211774774355188499268161748098200627947445992556086533759582497126919583521052001
6,18016333086620022858056093978276870835467752073923913250923457278945175450583503625463647338403241808490492530871001
7,343955645854682381976260990299668106178597441996646875836880890891987618555843770026421983318956894725798391141288966127236010069553007
8,6431201582017697147540827315433919231297797367834631831417730895911123359131202765836607272802482756269670709530008629605393447568390724856267584827060171
9,110300220470249818342410414792589744765792857257992865999821503473697185989767307860242360874190550197930675364202105370364264393013431848196534022571949108361866620832508487
10,2212289387923601712858680846155256467391496786912794497852716216931211825082911131158727271010650735869746288942030338610106425954931908325394698544551522669835719446376236651923260593642207089
11,40785914072860854189037714462243115575360457240938781452742928118306634482608523171887169084686417447647513224212048942704435323637692353759972704808518139477974751697393347251412488797837453747624181372194927667
12,720976412997882464995501945264778096801958225306206133149824725639553134661469733342999839109719733906663614754099483171070051351414409881407928311714672776774915204692869208012387232359064130072636626245348944889402749403212965273
13,12541440563446649232815038645514470579105792121942031937299496999979120076092458576954732642241668947949233317287477558182910476454264043277171695457454989462833543875070589982468557266405534982132592095801280980980352890791588943870314306609002049421
14,253842345461793209369766244823256581419359396982686825080302000579464582856948873337197263807855915144725065827271699020393909105307594997240046281022947533355007392351020172689472881775048345728929884275808289498146910107940289642771601649389370610369288596460789130203
15,4779382920254213991507652637580965991500353866494356421558096477800356707409410856332972388522248003009492058569950062092871414710269785855583825524656789230112648153322652911995806046270831936517163884399702186646705804250936373752855015320828818325019517603140467193277156339347805015647
16,77336434630392697657835049950001842759671497489221141323690080798978382662555119156651289907746837757803872222170016028553565954842815956216083573802890967330366702498711218888403013450817284153152009412674568016434807603797719797847676248195457391924140446838969533741107129292207894339607150707019370932729
17,1438503896262172238331648418617823444913271389214398926304332810735093843590932737296408372913768513123998893737969117941493697896943742011740604354790143428842774874544664613488281883198601728031931525574442302082788931908388690324170651128258281609937427147522396135996263253250650689341781139981037869472072350695363268567359
18,29745693103406691639618554747564393680686310386857855654583260427209195018812348523464276410632602567993785229285398158006590547497598896689582382698105693194310808807094635814686646993095714446225833316039430806428268969682527947117080124364604569785583072575551485049732561054732892900061389845542747214898020780219319729319073646669960740563683
19,466509955868676258254658716771614400919361605352940669227940793705692436963560983670770378271260081944729306778255460646122190494486105273564713890230123535475411094537613049986080616209681681990819232861089734372881531307437082630653967720301889412093179981501264235339529517532559335589292938506208126404490332959621631855021713788727567641380787566991174773345759
20,7954250308654564102931814369196529250499705909550588007929616703405195169802237760247985362916682470162564528811640386906488244298589340162903590735897009655771508949555866243525448641209537909911351315047784219659939985203547188008536187103277453189406354352564076489286271236849807340130784549201571820519134473809248745458457418774572690085733102713781230693784800754474434855156087
21,147485878460457034983974806772293895739869298235468384532771544876719272986343195495948261382320934399487451928843042731643694950735271504936179671685134207209641132201493983036932372448301680084736266717984276194662287238105074836197700707899712926784026786431631361438100992355467743442994600826480580631430164667671325863530710471061518269819042479928194679248811058070113706185433727508783525686873199
22,3316694510432348540733065638486662035470192618215101638995292448029232188179691794498517511433800545745886390257235217524741521829628222184271830252723733852954342065866275728965983252088763701425030125688894996705825237942373345315684252852565809036589482671604543612111079352291377836753376190002729923246510234791207396239579785394642041322691872492074332250889638396377604677651528773350557828153839312894400291206543599
